fare_id,price,currency_type,payment_method,transfers,transfer_duration
TA0,7.00,MXN,0,0,
TA1,13.00,MXN,0,0,
TA2,44.00,MXN,0,0,
TA3,14.00,MXN,0,0,
TA4,10.00,MXN,0,0,
TA5,22.00,MXN,0,0,
TA6,270.00,MXN,0,0,
TA7,46.00,MXN,0,0,
TA8,4.50,MXN,0,0,
TA9,6.50,MXN,0,0,
TA10,32.00,MXN,0,0,
TA11,4.00,MXN,0,0,
TA12,15.50,MXN,0,0,
TA13,33.00,MXN,0,0,
TA14,2.00,MXN,0,0,
TA15,5.50,MXN,0,0,
TA16,12.00,MXN,0,0,
TA17,63.00,MXN,0,0,
TA18,14.50,MXN,0,0,
TA19,11.00,MXN,0,0,
TA20,59.00,MXN,0,0,
TA21,11.50,MXN,0,0,
TA22,10.50,MXN,0,0,
TA23,13.50,MXN,0,0,
TA24,30.00,MXN,0,0,
TA25,6.00,MXN,0,0,
TA26,18.00,MXN,0,0,
TA27,25.00,MXN,0,0,
TA28,12.50,MXN,0,0,
TA29,9.00,MXN,0,0,
TA30,7.50,MXN,0,0,
TA31,26.00,MXN,0,0,
TA32,20.00,MXN,0,0,
TA33,800.00,MXN,0,0,
TA34,16.00,MXN,0,0,
TA35,55.00,MXN,0,0,
TA36,8.00,MXN,0,0,
TA37,15.00,MXN,0,0,
TA38,8.50,MXN,0,0,
TA39,45.00,MXN,0,0,
TA40,9.50,MXN,0,0,
TA41,5.00,MXN,0,0,
