route_id,route_short_name,route_long_name,route_desc,route_type
126,R 126,INSTITUTO TECNOLÓGICO DE TLALNEPANTLA - EL ROSARIO (METRO),Ruta generada a partir de los recorridos: 5113460002127872,3
60,R 60,PERIFERICO - SAN LÁZARO (METRO),Ruta generada a partir de los recorridos: 4679453858856960,3
79,R 79,TACUBA (METRO) - CENTRAL DE ABASTO,Ruta generada a partir de los recorridos: 4736147997589504; 5876427186503680,3
404,R 404,PREPA 5 - UNIVERSIDAD (METRO),Ruta generada a partir de los recorridos: 5951095151001600,3
580,R 580,INDIOS VERDES (METRO) - SANTUARIO,Ruta generada a partir de los recorridos: 6476442464419840,3
335,R 335,LA BOMBILLA - TASQUEÑA (METRO),Ruta generada a partir de los recorridos: 5803776967442432,3
624,R 624,PANTITLÁN (METRO) - UAM I (METRO),Ruta generada a partir de los recorridos: 6699593135816704,3
18,R 18,CHAPULTEPEC (METRO) - DEPORTIVO OCEANÍA,Ruta generada a partir de los recorridos: 4537173067956224; 6260158086774784,3
93,R 93,VILLA PANAMERICANA - CETRAM UNIVERSIDAD,Ruta generada a partir de los recorridos: 4794224033660928,3
403,R 403,OCEANÍA (METRO) - CAMARONES (METRO),Ruta generada a partir de los recorridos: 5947372194496512,3
33,R 33,UNIVERSIDAD (METRO) - VILLA PANAMERICANA,Ruta generada a partir de los recorridos: 4588627682131968,3
491,R 491,DEPORTIVO CEYLÁN - LA RAZA (METRO),Ruta generada a partir de los recorridos: 6158961141088256,3
454,R 454,PREPA 5 - CHAPULTEPEC (METRO),Ruta generada a partir de los recorridos: 6025869063618560; 6413961629007872,3
475,R 475,CENTRAL DE ABASTO - SAN PABLO,Ruta generada a partir de los recorridos: 6096075874107392,3
549,R 549,CENTRAL DE ABASTO - CONSTITUCIÓN 1917 (METRO),Ruta generada a partir de los recorridos: 6363454935924736,3
453,R 453,MARIQUITA SANCHEZ - TASQUEÑA (METRO),Ruta generada a partir de los recorridos: 6025225892265984,3
635,R 635,HUIPULCO - ESTADIO CIUDAD UNIVERSITARIA,Ruta generada a partir de los recorridos: 6721130777804800,3
219,R 219,PALMAS KM 13 - CHAPULTEPEC (METRO),Ruta generada a partir de los recorridos: 5419807604211712; 6097603909386240,3
552,R 552,INDIOS VERDES (METRO) - APAXCO,Ruta generada a partir de los recorridos: 6369459283427328,3
538,R 538,SAN LÁZARO (METRO) - PERIFÉRICO,Ruta generada a partir de los recorridos: 6331349015199744,3
155,R 155,SAN ÁNGEL - TASQUEÑA (METRO),Ruta generada a partir de los recorridos: 5232952803852288; 5316452236132352,3
191,R 191,CONSTITUCIÓN DE 1917 (METRO) - CALLE 11 (METRO),Ruta generada a partir de los recorridos: 5326217540534272,3
