stop_id,stop_name,stop_desc,stop_lat,stop_lon
130S27,R 130 130S27,POTRERO (METRO) - PACHUCA 130S27,20.107807849700347,-98.75308027480462
130S26,R 130 130S26,POTRERO (METRO) - PACHUCA 130S26,20.10458219018592,-98.75411907021895
130S25,R 130 130S25,POTRERO (METRO) - PACHUCA 130S25,20.096723276300082,-98.75979299125761
130S24,R 130 130S24,POTRERO (METRO) - PACHUCA 130S24,20.084539835063968,-98.76009943205598
130S23,R 130 130S23,POTRERO (METRO) - PACHUCA 130S23,20.059029988529684,-98.77654682760662
130S22,R 130 130S22,POTRERO (METRO) - PACHUCA 130S22,20.05610665961628,-98.7831790847782
130S21,R 130 130S21,POTRERO (METRO) - PACHUCA 130S21,20.055144814030896,-98.78683663939687
130S20,R 130 130S20,POTRERO (METRO) - PACHUCA 130S20,20.04071673076571,-98.79490435816797
130S19,R 130 130S19,POTRERO (METRO) - PACHUCA 130S19,20.034894954906726,-98.79909476009468
130S18,R 130 130S18,POTRERO (METRO) - PACHUCA 130S18,19.99514081484466,-98.83534874243422
559S0,R 287 559S0,MARTÍN CARRERA (METRO) - SANTA MARÍA AJOLOAPAN 559S0,19.983850224262806,-99.03306939666507
287S17,R 287 287S17,MARTÍN CARRERA (METRO) - SANTA MARÍA AJOLOAPAN 287S17,19.98258810900663,-99.03305968802587
287S15,R 287 287S15,MARTÍN CARRERA (METRO) - SANTA MARÍA AJOLOAPAN 287S15,19.978575436037342,-99.05024117959282
559S1,R 287 559S1,MARTÍN CARRERA (METRO) - SANTA MARÍA AJOLOAPAN 559S1,19.97816021570375,-99.043069906246
287S16,R 287 287S16,MARTÍN CARRERA (METRO) - SANTA MARÍA AJOLOAPAN 287S16,19.977313426961867,-99.04141103119277
287S14,R 287 287S14,MARTÍN CARRERA (METRO) - SANTA MARÍA AJOLOAPAN 287S14,19.97359497865483,-99.04718881217485
552S36,R 552 552S36,INDIOS VERDES (METRO) - APAXCO 552S36,19.972608481475458,-99.17367486260167
559S2,R 287 559S2,MARTÍN CARRERA (METRO) - SANTA MARÍA AJOLOAPAN 559S2,19.97049171766473,-99.04495625060204
287S13,R 287 287S13,MARTÍN CARRERA (METRO) - SANTA MARÍA AJOLOAPAN 287S13,19.968635920815817,-99.04393951518408
552S35,R 552 552S35,INDIOS VERDES (METRO) - APAXCO 552S35,19.967494826016214,-99.1737911812264
552S34,R 552 552S34,INDIOS VERDES (METRO) - APAXCO 552S34,19.962358809521316,-99.17222043215293
552S33,R 552 552S33,INDIOS VERDES (METRO) - APAXCO 552S33,19.95257313010876,-99.16763932112202
552S32,R 552 552S32,INDIOS VERDES (METRO) - APAXCO 552S32,19.950904025925137,-99.16309497654045
130S17,R 130 130S17,POTRERO (METRO) - PACHUCA 130S17,19.946814867836597,-98.87393156227782
559S3,R 287 559S3,MARTÍN CARRERA (METRO) - SANTA MARÍA AJOLOAPAN 559S3,19.933314384724827,-99.01201757218472
130S16,R 130 130S16,POTRERO (METRO) - PACHUCA 130S16,19.932228887778898,-98.88902635748076
559S7,R 287 559S7,MARTÍN CARRERA (METRO) - SANTA MARÍA AJOLOAPAN 559S7,19.931058022633493,-98.98661385941321
559S6,R 287 559S6,MARTÍN CARRERA (METRO) - SANTA MARÍA AJOLOAPAN 559S6,19.92353489813889,-98.9897785131042
559S4,R 287 559S4,MARTÍN CARRERA (METRO) - SANTA MARÍA AJOLOAPAN 559S4,19.9230549,-99.00922539999999
