AMOSTRAGEM 0
Origem - Destino ['193S7', '2S28']
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:6.3060002327
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:6.40399980545
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:6.01200008392
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:6.04800009727
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:7.1930000782
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:5.95699977875
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:6.57300019264
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:6.30499982834
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:6.36999988556
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:6.4240000248
Origem - Destino ['614S9', '211S0']
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:6.757999897
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:6.16899991035
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:6.18099999428
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(['614S9', '119S8', '119S9', '119S10', '119S11', '119S12', '119S13', '119S14', '119S15', '119S16', '614S0', '614S1', '614S2', '614S3', '196S12', '196S13', '7S23', '7S24', '7S25', '7S26', '7S27', '7S28', '7S29', '11S3', '11S4', '11S5', '11S6', '11S7', '11S8', '11S9', '11S10', '458S17', '458S18', '458S19', '71S19', '71S20', '71S21', '71S22', '67S6', '67S7', '67S8', '143S0', '143S1', '95S0', '95S1', '270S1', '91S10', '91S11', '510S11', '510S12', '18S10', '18S11', '18S12', '18S13', '18S14', '18S15', '18S16', '510S6', '56S5', '56S6', '44S8', '44S9', '44S10', '227S3', '227S4', '81S23', '252S20', '252S21', '252S22', '81S25', '313S3', '252S23', '252S24', '178S1', '157S10', '157S11', '157S12', '157S13', '157S14', '22S1', '392S15', '392S16', '22S0', '211S0'], 36.9631432468682) - Time:7.38300013542
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:6.83699989319
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:6.08899998665
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:6.02600002289
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:7.55700016022
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:5.93899989128
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:6.37000012398
Origem - Destino ['262S4', '165S9']
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:7.34700012207
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:6.61800003052
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:6.28899979591
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:6.91600012779
