AMOSTRAGEM 0
Origem - Destino ['258S11', '446S6']
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:3.1369998455
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:2.72000002861
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:2.76800012589
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:2.8149998188
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:2.82000017166
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:2.95499992371
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:3.05099987984
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:2.80599999428
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:2.65900015831
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:2.72899985313
Origem - Destino ['519S5', '181S2']
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:2.78200006485
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:2.94600009918
